R-Card Office iPad3,2/11/2019 11:52,Retail Sale Transaction Amount: $25,Retail Transaction ID: 7196650
R-Card Office iPad1,2/11/2019 12:03,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7196925
R-Card Office iPad1,2/11/2019 12:04,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7199683
R-Card Office iPad1,2/11/2019 12:05,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199696
R-Card Office iPad1,2/11/2019 12:06,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199708
R-Card Office iPad1,2/11/2019 12:06,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199718
R-Card Office iPad1,2/11/2019 12:07,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199733
R-Card Office iPad1,2/11/2019 12:08,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7199743
R-Card Office iPad1,2/11/2019 12:08,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199778
R-Card Office iPad1,2/11/2019 12:13,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199783
R-Card Office iPad1,2/11/2019 12:14,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199795
R-Card Office iPad1,2/11/2019 12:17,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7199858
R-Card Office iPad1,2/11/2019 12:18,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7199874
R-Card Office iPad1,2/11/2019 12:19,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7199976
R-Card Office iPad1,2/11/2019 12:20,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7200036
R-Card Office iPad1,2/11/2019 12:22,Retail Sale Transaction Amount: $15,Retail Transaction ID: 7200038
R-Card Office iPad1,2/11/2019 12:36,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7200106
R-Card Office iPad1,2/11/2019 12:37,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7202850
R-Card Office iPad1,2/11/2019 12:46,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7202923
R-Card Office iPad1,2/11/2019 12:46,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7202931
R-Card Office iPad1,2/11/2019 12:50,Retail Sale Transaction Amount: $3,Retail Transaction ID: 7202932
